path,ext,size,modified_utc,last_git_utc,decision,reasons
tools/ps/tests/Guardrails.Tests.ps1,.ps1,182,2025-08-26 22:35:41,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/ps_parse_preflight.ps1,.ps1,517,2025-08-23 10:23:56,2025-08-23 23:28:49,archive,script:not_managed;stale:57d>=45d
tools/ps_run_safe.ps1,.ps1,847,2025-08-23 10:23:56,2025-08-23 23:28:49,archive,script:not_managed;stale:57d>=45d
tools/ps_write_temp_py.py,.py,1151,2025-08-22 22:37:34,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/py/__init__.py,.py,0,2025-08-31 17:18:36,2025-08-31 18:09:49,archive,stale:49d>=45d
tools/py/agentic/__init__.py,.py,0,2025-08-31 17:18:36,2025-08-31 18:09:49,archive,stale:49d>=45d
tools/py/agentic/context_pack.py,.py,1847,2025-09-03 20:55:13,2025-09-03 20:55:41,archive,stale:46d>=45d
tools/py/agentic/patch_apply.py,.py,12508,2025-08-31 20:02:08,2025-09-03 20:55:41,archive,stale:46d>=45d
tools/py/agentic/patch_debug.py,.py,1470,2025-08-31 19:20:44,2025-08-31 19:24:19,archive,stale:49d>=45d
tools/py/agentic/patch_schema.json,.json,2872,2025-08-31 19:39:09,2025-08-31 19:39:48,archive,stale:49d>=45d
tools/py/agentic/patch_utils.py,.py,1589,2025-08-31 17:07:29,2025-08-31 18:09:49,archive,stale:49d>=45d
tools/py/agentic/policy_debug.py,.py,1123,2025-08-31 19:55:39,2025-09-03 20:55:41,archive,stale:46d>=45d
tools/py/agentic/policy_utils.py,.py,3874,2025-08-31 19:55:01,2025-09-03 20:55:41,archive,stale:46d>=45d
tools/py/agentic/propose_for_step.py,.py,2477,2025-08-31 19:12:27,2025-08-31 19:24:19,archive,stale:49d>=45d
tools/py/agentic/sample_proposal.py,.py,1908,2025-08-31 17:37:04,2025-08-31 18:09:49,archive,stale:49d>=45d
tools/py/auto_fix_main_if_block.py,.py,2258,2025-08-26 23:23:45,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/ci/ci_check.py,.py,2640,2025-08-28 13:57:19,2025-08-28 13:57:59,archive,stale:53d>=45d
tools/py/ci/patch_workflows.py,.py,3107,2025-08-28 12:41:26,2025-08-28 12:42:33,archive,stale:53d>=45d
